repo_name	tier	d1	d2	d3	d4	d5	total	is_mission	last_scanned	notes_path
java-calculator	T0	-	-	-	-	-	-	true	-	.research/repos/java-calculator.md
java-chess	T2	3	5	4	4	3	19	true	2026-04-07T0843Z	.research/repos/java-chess.md
java-chicken-2019	T0	-	-	-	-	-	-	true	-	.research/repos/java-chicken-2019.md
java-chicken-2020	T0	-	-	-	-	-	-	true	-	.research/repos/java-chicken-2020.md
java-coordinate	T0	-	-	-	-	-	-	true	-	.research/repos/java-coordinate.md
java-coupon	T1	3	2	3	3	3	14	true	2026-04-07T0810Z	.research/repos/java-coupon.md
java-deploy	T0	-	-	-	-	-	-	true	-	.research/repos/java-deploy.md
java-di	T0	-	-	-	-	-	-	true	-	.research/repos/java-di.md
java-dice	T0	-	-	-	-	-	-	true	-	.research/repos/java-dice.md
java-http	T2	4	5	5	4	4	22	true	2026-04-07T0930Z	.research/repos/java-http.md
java-janggi	T1	4	2	4	3	4	17	true	2026-04-07T0801Z	.research/repos/java-janggi.md
java-jdbc	T0	-	-	-	-	-	-	true	-	.research/repos/java-jdbc.md
java-ladder	T1	3	4	3	4	2	16	true	2026-04-07T0832Z	.research/repos/java-ladder.md
java-learning-test	T0	-	-	-	-	-	-	?	-	.research/repos/java-learning-test.md
java-lotto	T2	3	5	4	4	3	19	true	2026-04-07T0844Z	.research/repos/java-lotto.md
java-lotto-precourse	T0	-	-	-	-	-	-	?	-	.research/repos/java-lotto-precourse.md
java-movie-2019	T0	-	-	-	-	-	-	true	-	.research/repos/java-movie-2019.md
java-mvc	T0	-	-	-	-	-	-	true	-	.research/repos/java-mvc.md
java-pairmatching-precourse	T0	-	-	-	-	-	-	?	-	.research/repos/java-pairmatching-precourse.md
java-racingcar	T1	2	5	3	5	3	18	true	2026-04-07T00:00Z	.research/repos/java-racingcar.md
java-racingcar-precourse	T0	-	-	-	-	-	-	?	-	.research/repos/java-racingcar-precourse.md
java-study	T0	-	-	-	-	-	-	true	-	.research/repos/java-study.md
java-subway-map-precourse	T0	-	-	-	-	-	-	?	-	.research/repos/java-subway-map-precourse.md
java-subway-path-precourse	T0	-	-	-	-	-	-	?	-	.research/repos/java-subway-path-precourse.md
java-vendingmachine-precourse	T0	-	-	-	-	-	-	?	-	.research/repos/java-vendingmachine-precourse.md
javable	T0	-	-	-	-	-	-	?	-	.research/repos/javable.md
javascript-baseball-precourse	T0	-	-	-	-	-	-	?	-	.research/repos/javascript-baseball-precourse.md
javascript-calculator	T0	-	-	-	-	-	-	true	-	.research/repos/javascript-calculator.md
javascript-dice	T0	-	-	-	-	-	-	true	-	.research/repos/javascript-dice.md
javascript-lotto	T1	1	4	3	4	5	17	true	2026-04-07T0836Z	.research/repos/javascript-lotto.md
javascript-lunch	T0	-	-	-	-	-	-	true	-	.research/repos/javascript-lunch.md
javascript-movie-review	T2	2	4	5	3	4	18	true	2026-04-07T0940Z	.research/repos/javascript-movie-review.md
javascript-own-ui-library	T0	-	-	-	-	-	-	?	-	.research/repos/javascript-own-ui-library.md
javascript-racingcar	T1	2	4	3	4	3	16	true	2026-04-07T00:02Z	.research/repos/javascript-racingcar.md
javascript-racingcar-precourse	T0	-	-	-	-	-	-	?	-	.research/repos/javascript-racingcar-precourse.md
javascript-subway	T0	-	-	-	-	-	-	true	-	.research/repos/javascript-subway.md
javascript-subway-map-precourse	T0	-	-	-	-	-	-	?	-	.research/repos/javascript-subway-map-precourse.md
javascript-subway-path-precourse	T0	-	-	-	-	-	-	?	-	.research/repos/javascript-subway-path-precourse.md
javascript-teammatching-precourse	T0	-	-	-	-	-	-	?	-	.research/repos/javascript-teammatching-precourse.md
javascript-vendingmachine	T1	3	2	2	3	3	13	true	2026-04-07T0900Z	.research/repos/javascript-vendingmachine.md
javascript-vendingmachine-precourse	T0	-	-	-	-	-	-	?	-	.research/repos/javascript-vendingmachine-precourse.md
javascript-youtube-classroom	T0	-	-	-	-	-	-	?	-	.research/repos/javascript-youtube-classroom.md
js-todo-list-step1	T0	-	-	-	-	-	-	?	-	.research/repos/js-todo-list-step1.md
js-todo-list-step2	T0	-	-	-	-	-	-	?	-	.research/repos/js-todo-list-step2.md
jsdoc-boilerplate	T0	-	-	-	-	-	-	?	-	.research/repos/jsdoc-boilerplate.md
jwp-blog	T0	-	-	-	-	-	-	?	-	.research/repos/jwp-blog.md
jwp-chess	T1	1	4	2	3	3	13	true	2026-04-07T0900Z	.research/repos/jwp-chess.md
jwp-di	T0	-	-	-	-	-	-	?	-	.research/repos/jwp-di.md
jwp-hands-on	T0	-	-	-	-	-	-	?	-	.research/repos/jwp-hands-on.md
jwp-jdbc	T0	-	-	-	-	-	-	?	-	.research/repos/jwp-jdbc.md
jwp-mvc	T0	-	-	-	-	-	-	?	-	.research/repos/jwp-mvc.md
jwp-network	T0	-	-	-	-	-	-	?	-	.research/repos/jwp-network.md
jwp-qna	T0	-	-	-	-	-	-	?	-	.research/repos/jwp-qna.md
jwp-racingcar	T0	-	-	-	-	-	-	?	-	.research/repos/jwp-racingcar.md
jwp-racingcar-1	T0	-	-	-	-	-	-	?	-	.research/repos/jwp-racingcar-1.md
jwp-refactoring	T0	-	-	-	-	-	-	?	-	.research/repos/jwp-refactoring.md
jwp-shopping-cart	T0	-	-	-	-	-	-	?	-	.research/repos/jwp-shopping-cart.md
jwp-shopping-order	T0	-	-	-	-	-	-	?	-	.research/repos/jwp-shopping-order.md
jwp-spring-boot	T0	-	-	-	-	-	-	?	-	.research/repos/jwp-spring-boot.md
jwp-subway-path	T0	-	-	-	-	-	-	?	-	.research/repos/jwp-subway-path.md
jwp-was	T0	-	-	-	-	-	-	?	-	.research/repos/jwp-was.md
kotlin-blackjack	T1	2	4	3	4	4	17	true	2026-04-07T0834Z	.research/repos/kotlin-blackjack.md
kotlin-lotto	T1	2	4	3	4	4	17	true	2026-04-07T0835Z	.research/repos/kotlin-lotto.md
kotlin-minesweeper	T0	-	-	-	-	-	-	true	-	.research/repos/kotlin-minesweeper.md
kotlin-movie	T0	-	-	-	-	-	-	true	-	.research/repos/kotlin-movie.md
kotlin-omok	T0	-	-	-	-	-	-	true	-	.research/repos/kotlin-omok.md
kotlin-racingcar	T1	1	3	3	4	3	14	true	2026-04-07T00:01Z	.research/repos/kotlin-racingcar.md
kotlin-rss-reader	T0	-	-	-	-	-	-	?	-	.research/repos/kotlin-rss-reader.md
layout-component	T0	-	-	-	-	-	-	?	-	.research/repos/layout-component.md
learning-skills	T0	-	-	-	-	-	-	?	-	.research/repos/learning-skills.md
lv2-final-mission	T0	-	-	-	-	-	-	?	-	.research/repos/lv2-final-mission.md
lv3-final-mission	T0	-	-	-	-	-	-	?	-	.research/repos/lv3-final-mission.md
media	T0	-	-	-	-	-	-	?	-	.research/repos/media.md
mini-json-server-auth	T0	-	-	-	-	-	-	?	-	.research/repos/mini-json-server-auth.md
miniprojects	T0	-	-	-	-	-	-	?	-	.research/repos/miniprojects.md
miniprojects-2019	T0	-	-	-	-	-	-	?	-	.research/repos/miniprojects-2019.md
mission-template	T0	-	-	-	-	-	-	false	-	.research/repos/mission-template.md
monitoring-practice	T0	-	-	-	-	-	-	?	-	.research/repos/monitoring-practice.md
nextstep_test	T0	-	-	-	-	-	-	?	-	.research/repos/nextstep_test.md
nextstep_test-1	T0	-	-	-	-	-	-	?	-	.research/repos/nextstep_test-1.md
nextstep_test-2	T0	-	-	-	-	-	-	?	-	.research/repos/nextstep_test-2.md
pair-programming-manifesto	T0	-	-	-	-	-	-	?	-	.research/repos/pair-programming-manifesto.md
perf-basecamp	T2	4	4	4	4	4	20	true	2026-04-07T0935Z	.research/repos/perf-basecamp.md
privacy	T0	-	-	-	-	-	-	?	-	.research/repos/privacy.md
prolog	T0	-	-	-	-	-	-	?	-	.research/repos/prolog.md
prolog-admin	T0	-	-	-	-	-	-	?	-	.research/repos/prolog-admin.md
prolog-idp	T0	-	-	-	-	-	-	?	-	.research/repos/prolog-idp.md
react-basecamp	T0	-	-	-	-	-	-	true	-	.research/repos/react-basecamp.md
react-calculator	T0	-	-	-	-	-	-	true	-	.research/repos/react-calculator.md
react-lotto	T0	-	-	-	-	-	-	true	-	.research/repos/react-lotto.md
react-lunch	T0	-	-	-	-	-	-	true	-	.research/repos/react-lunch.md
react-modules	T1	2	3	3	3	3	14	true	2026-04-07T0900Z	.research/repos/react-modules.md
react-movie-review	T0	-	-	-	-	-	-	?	-	.research/repos/react-movie-review.md
react-payments	T2	3	5	4	4	4	20	true	2026-04-07T0845Z	.research/repos/react-payments.md
react-shopping-cart	T1	2	4	3	3	3	15	true	2026-04-07T0900Z	.research/repos/react-shopping-cart.md
react-shopping-cart-prod	T0	-	-	-	-	-	-	?	-	.research/repos/react-shopping-cart-prod.md
react-shopping-products	T0	-	-	-	-	-	-	?	-	.research/repos/react-shopping-products.md
react-shopping-products-example	T0	-	-	-	-	-	-	?	-	.research/repos/react-shopping-products-example.md
react-ssr	T0	-	-	-	-	-	-	true	-	.research/repos/react-ssr.md
react-subway	T0	-	-	-	-	-	-	true	-	.research/repos/react-subway.md
react-subway-map	T0	-	-	-	-	-	-	?	-	.research/repos/react-subway-map.md
react-timer	T0	-	-	-	-	-	-	true	-	.research/repos/react-timer.md
rendering-basecamp	T0	-	-	-	-	-	-	?	-	.research/repos/rendering-basecamp.md
retrospective	T0	-	-	-	-	-	-	?	-	.research/repos/retrospective.md
script-practice	T0	-	-	-	-	-	-	?	-	.research/repos/script-practice.md
self-paced-enhance-usability	T0	-	-	-	-	-	-	?	-	.research/repos/self-paced-enhance-usability.md
self-paced-react	T0	-	-	-	-	-	-	?	-	.research/repos/self-paced-react.md
service-apply	T0	-	-	-	-	-	-	?	-	.research/repos/service-apply.md
service-archive	T0	-	-	-	-	-	-	?	-	.research/repos/service-archive.md
service-archive-client	T0	-	-	-	-	-	-	?	-	.research/repos/service-archive-client.md
service-issues	T0	-	-	-	-	-	-	?	-	.research/repos/service-issues.md
service-practice	T0	-	-	-	-	-	-	?	-	.research/repos/service-practice.md
service-reservation	T0	-	-	-	-	-	-	?	-	.research/repos/service-reservation.md
shopping-cart-api	T0	-	-	-	-	-	-	?	-	.research/repos/shopping-cart-api.md
shopping-cart-css	T0	-	-	-	-	-	-	?	-	.research/repos/shopping-cart-css.md
spring-boot-http-cache	T0	-	-	-	-	-	-	?	-	.research/repos/spring-boot-http-cache.md
spring-cache-basic-frontend	T0	-	-	-	-	-	-	?	-	.research/repos/spring-cache-basic-frontend.md
spring-helloworld	T0	-	-	-	-	-	-	true	-	.research/repos/spring-helloworld.md
spring-learning-test	T0	-	-	-	-	-	-	?	-	.research/repos/spring-learning-test.md
spring-lotto	T0	-	-	-	-	-	-	true	-	.research/repos/spring-lotto.md
spring-roomescape-admin	T1	3	4	3	4	4	18	true	2026-04-07T0838Z	.research/repos/spring-roomescape-admin.md
spring-roomescape-member	T1	1	4	4	3	3	15	true	2026-04-07T0900Z	.research/repos/spring-roomescape-member.md
spring-roomescape-payment	T0	-	-	-	-	-	-	?	-	.research/repos/spring-roomescape-payment.md
spring-roomescape-waiting	T0	-	-	-	-	-	-	?	-	.research/repos/spring-roomescape-waiting.md
sql-tuning	T0	-	-	-	-	-	-	?	-	.research/repos/sql-tuning.md
ssr-basecamp	T0	-	-	-	-	-	-	?	-	.research/repos/ssr-basecamp.md
storybook-hook-test	T0	-	-	-	-	-	-	?	-	.research/repos/storybook-hook-test.md
teatime-gitbranch-strategy	T0	-	-	-	-	-	-	?	-	.research/repos/teatime-gitbranch-strategy.md
tecoble	T0	-	-	-	-	-	-	?	-	.research/repos/tecoble.md
tecoble-comments	T0	-	-	-	-	-	-	?	-	.research/repos/tecoble-comments.md
tecobrary-server	T0	-	-	-	-	-	-	?	-	.research/repos/tecobrary-server.md
template-test	T0	-	-	-	-	-	-	?	-	.research/repos/template-test.md
todolist	T0	-	-	-	-	-	-	?	-	.research/repos/todolist.md
ts-and-learning	T0	-	-	-	-	-	-	?	-	.research/repos/ts-and-learning.md
ts-module	T0	-	-	-	-	-	-	?	-	.research/repos/ts-module.md
typescript-exercise	T0	-	-	-	-	-	-	true	-	.research/repos/typescript-exercise.md
web-chess-basic	T0	-	-	-	-	-	-	?	-	.research/repos/web-chess-basic.md
web-introduction	T0	-	-	-	-	-	-	?	-	.research/repos/web-introduction.md
web-today-i-learn	T0	-	-	-	-	-	-	?	-	.research/repos/web-today-i-learn.md
web-wiki-introduction	T0	-	-	-	-	-	-	?	-	.research/repos/web-wiki-introduction.md
wootstrap	T0	-	-	-	-	-	-	?	-	.research/repos/wootstrap.md
woowa-userstory-2020	T0	-	-	-	-	-	-	?	-	.research/repos/woowa-userstory-2020.md
woowa-writing	T0	-	-	-	-	-	-	?	-	.research/repos/woowa-writing.md
woowa-writing-1	T0	-	-	-	-	-	-	?	-	.research/repos/woowa-writing-1.md
woowa-writing-2	T0	-	-	-	-	-	-	?	-	.research/repos/woowa-writing-2.md
woowa-writing-3	T0	-	-	-	-	-	-	?	-	.research/repos/woowa-writing-3.md
woowa-writing-4	T0	-	-	-	-	-	-	?	-	.research/repos/woowa-writing-4.md
woowa-writing-5	T0	-	-	-	-	-	-	?	-	.research/repos/woowa-writing-5.md
woowacourse-docs	T0	-	-	-	-	-	-	false	-	.research/repos/woowacourse-docs.md
woowacourse.github.io	T0	-	-	-	-	-	-	?	-	.research/repos/woowacourse.github.io.md
working-scholars	T0	-	-	-	-	-	-	?	-	.research/repos/working-scholars.md
